residual,latent_variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,flag,analysis_type
delta_v4_left_residual,psi_tau,1478,0.00999094223712757,0.7011385207783137,0.06530751664589748,0.012029113314680451,,latent_variable
delta_v4_left_residual,asym_dv1_abs,1482,-0.006798374579950146,0.7937088473722922,-0.03597166417620196,0.16633648925809388,,latent_variable
delta_v4_left_residual,asym_dv1_rel,1482,0.16099223408424512,4.5715042202397936e-10,0.19104075960964798,1.2011744846168964e-13,,latent_variable
delta_v4_right_residual,psi_tau,1478,0.012328557145352314,0.6357955334349615,0.0828082439119302,0.0014409331468360758,,latent_variable
delta_v4_right_residual,asym_dv1_abs,1482,0.13904375894522675,7.686286440205017e-08,0.12594849264553723,1.150968326180444e-06,,latent_variable
delta_v4_right_residual,asym_dv1_rel,1482,-0.19369811300432835,5.4026742223233744e-14,-0.23761512277365868,1.813037832746786e-20,,latent_variable
delta_v5_left_residual,psi_tau,1478,-0.0046790534775482395,0.8573614760571444,0.06454547344152337,0.013067498620820139,,latent_variable
delta_v5_left_residual,asym_dv1_abs,1482,0.10405204742482575,5.990525693324724e-05,-0.01731336339421157,0.5054137824793352,,latent_variable
delta_v5_left_residual,asym_dv1_rel,1482,0.0940175237009119,0.00028969379300459894,0.15364420725417766,2.762121503500556e-09,,latent_variable
delta_v5_right_residual,psi_tau,1478,-0.030347019908873504,0.24362839146966703,0.04878310898877647,0.06079481667184349,,latent_variable
delta_v5_right_residual,asym_dv1_abs,1482,0.21840558533232252,1.8368325534423573e-17,0.11345719864794596,1.196678950616206e-05,,latent_variable
delta_v5_right_residual,asym_dv1_rel,1482,-0.2091748813119906,4.0881357511518644e-16,-0.1526116455133133,3.5325755725391427e-09,,latent_variable
ΔV4_left vs ΔV5_left,—,1482,0.3268046068402932,3.1741612965856626e-38,0.32620348335763466,4.4017487093581934e-38,|r|≥0.3,cross_component
ΔV4_right vs ΔV5_right,—,1482,0.27763929953356814,1.2301837854334417e-27,0.30639616052192703,1.3982752421554275e-33,,cross_component
ΔV4_left vs ΔV4_right,—,1482,0.7353503091103809,2.362212506621846e-252,0.6132405490538373,8.555943410399917e-154,|r|≥0.5,interhemispheric
ΔV5_left vs ΔV5_right,—,1482,0.6936347337137028,4.160593557476036e-213,0.6225681353948537,8.566456489987975e-160,|r|≥0.5,interhemispheric
